dataSheet,pointID,site,resurveyed,latitudeDD,longitudeDD,observer,date,wind,noise,cloudCover,timeOfDay,people,notes
6,12,AZ,0,33.4488,-111.89474,MAF,5-Feb-2020,2,47,90%,12:05,0,no grackles
1,13,AZ,0,33.44868,-111.88934,MAF,5-Feb-2020,0,58.8,95%,9:04,12-30,flying to powerline
18,16,AZ,0,33.44369,-111.9538,MAF,12-Feb-2020,2,56.1,0%,10:38,>20,no grackles
9,19,AZ,0,33.44386,-111.93755,MAF,6-Feb-2020,2,47,5%,12:29,1-5,no grackles
2,28,AZ,0,33.44417,-111.88929,MAF,5-Feb-2020,0,60.9,90%,9:23,0,no grackles
5,29,AZ,0,33.44421,-111.88391,MAF,5-Feb-2020,2,40.9,100%,10:25,12-30,no grackles
19,31,AZ,0,33.4392,-111.9538,MAF,12-Feb-2020,2,59.9,0%,10:59,>20,"construction site, lots of trash in the dirt parking lot and canal nearby as well."
14,32,AZ,0,33.4394,-111.9485,MAF,12-Feb-2020,4,73.7,0%,8:50,>20,point is on a busy street
15,33,AZ,0,33.4393,-111.9433,MAF,12-Feb-2020,1,55.8,0%,9:15,6-10,
8,34,AZ,0,33.43935,-111.9375,MAF,6-Feb-2020,3,66,5%,12:08,12-30,no grackles
7,35,AZ,0,33.43939,-111.93212,MAF,6-Feb-2020,0,54.3,15%,11:49,1-5,
6.5,36,AZ,0,33.439386,-111.926895,MAF,6-Feb-2020,3,62.9,15%,11:31,12-30,"Point ID 36 and 12 had datasheet #6, changed ID 36 to DS# 6.5"
207,38,AZ,0,33.4394,-111.9161,SLB,6-Feb-2020,2,59.1,15%,13:56,12-30,
102,40,AZ,0,33.43954,-111.90538,KMD,5-Feb-2020,1,51.6,80%,10:05,1-5,no grackles
103,41,AZ,0,33.43958,-111.90000,KMD,5-Feb-2020,2,47.3,90%,10:37,12-30,no grackles
104,42,AZ,0,33.43962,-111.89462,KMD,5-Feb-2020,0,48.8,75%,11:00,12-30,no grackles
112,48,AZ,0,33.43475,-111.94298,KMD,12-Feb-2020,4,65.2,0%,10:53,1-5,looking for food on ledge
110,49,AZ,0,33.4348,-111.93761,KMD,12-Feb-2020,2,62.4,0%,10:06,0,across river singing
111,50,AZ,0,33.43484,-111.93223,KMD,12-Feb-2020,2,66,0%,10:23,0,singing
108,52,AZ,0,33.43492,-111.92147,KMD,12-Feb-2020,4,64.4,0%,8:30,0,singing
68,56,AZ,0,33.43507,-111.89996,MAF,27-Feb-2020,1,65.9,0%,7:40,1-5,
69,57,AZ,0,33.43554,-111.89455,MAF,27-Feb-2020,1,67.4,0%,8:00,1-5,
209,64,AZ,0,33.4303,-111.9377,SLB,13-Feb-2020,3,67.4,0%,11:07,1-5,
320,68,AZ,0,33.43045,-111.91605,MAF,8-Mar-2020,0,126.1,55%,10:03,12-30,
62,70,AZ,0,33.43054,-111.90526,MAF,26-Feb-2020,3,65.3,0%,10:14,>20,
132,73,AZ,0,33.43064,-111.88915,KMD,26-Feb-2020,3,59,0%,9:27,11-20,in tree
131,74,AZ,0,33.43068,-111.88377,KMD,26-Feb-2020,3,59.6,0%,9:04,11-20,"grass, was interrupted during count by curious person"
130,75,AZ,0,33.43072,-111.8784,KMD,26-Feb-2020,3,58.7,0%,8:46,11-20,foraging in grass
217,78,AZ,0,33.4257,-111.9429,SLB,13-Feb-2020,3,56.9,0%,13:39,12-30,no grackles
248,80,AZ,0,33.425818,-111.932128,SLB,5-Mar-2020,2,76.6,25%,13:17,1-5,"GPS coord recorded as 33.4218/-111.9321, reverted to original coord"
249,81,AZ,0,33.425858,-111.926751,SLB,5-Mar-2020,2,57.2,25%,13:38,0,"GPS coord recorded as 33.4221/-111.9323, reverted to original coord"
66,86,AZ,0,33.42601,-111.89985,MAF,26-Feb-2020,3,60.3,0%,11:31,6-10,"no grackles, 7m from 86"
135,90,AZ,0,33.42621,-111.87835,KMD,26-Feb-2020,3,63.1,0%,10:29,1-5,foraging in grass
31,91,AZ,0,33.42116,-111.9536,MAF,13-Feb-2020,1,48.8,0%,13:28,>20,
26,92,AZ,0,33.42118,-111.94821,MAF,13-Feb-2020,2,44.4,0%,12:28,>20,
247,95,AZ,0,33.421308,-111.93208,SLB,5-Mar-2020,2,66.5,25%,13:03,1-5,"GPS coord recorded as 33.4219/-111.9323, reverted to original coord"
246,96,AZ,0,33.4219,-111.9269,SLB,5-Mar-2020,2,71.7,25%,12:50,1-5,no grackles
243,97,AZ,0,33.4217,-111.9213,SLB,5-Mar-2020,2,67.3,25%,12:01,6-10,
244,98,AZ,0,33.4213,-111.9158,SLB,5-Mar-2020,2,57.8,25%,12:13,6-10,no grackles
245,99,AZ,0,33.421468,-111.91057,SLB,5-Mar-2020,2,62.2,25%,12:31,11-20,"GPS coord recorded as 33.4215/-111.9164, reverted to original coord"
138,103,AZ,0,33.42162,-111.88906,KMD,26-Feb-2020,4,75.5,0%,11:17,1-5,no grackles
136,N105,AZ,0,33.42198,-111.87826,KMD,26-Feb-2020,4,75.4,0%,10:46,1-5,no grackles
215,108,AZ,0,33.416718,-111.942786,SLB,13-Feb-2020,3,56,0%,13:10,12-30,"no grackles; GPS coord recorded as 33.4168/-111.9427, reverted to original coord"
212,109,AZ,0,33.4167,-111.9374,SLB,13-Feb-2020,3,54.3,0%,12:16,6-10,"Point long originally -111.9927, changed to -111.9427"
240,110,AZ,0,33.4167,-111.932,SLB,5-Mar-2020,2,55.2,25%,11:00,>20,
241,111,AZ,0,33.417,-111.9266,SLB,5-Mar-2020,2,67.9,25%,11:19,>20,
242,112,AZ,0,33.4174,-111.9206,SLB,5-Mar-2020,2,55.3,25%,11:40,1-5,
83,113,AZ,0,33.41692,-111.9159,MAF,27-Feb-2020,3,53,50%,13:48,12-30,
82,114,AZ,0,33.41696,-111.91052,MAF,27-Feb-2020,2,56.9,55%,13:36,6-10,no grackles
81,115,AZ,0,33.417,-111.90515,MAF,27-Feb-2020,1,48.9,45%,13:24,1-5,
213,124,AZ,0,33.4128,-111.9371,SLB,13-Feb-2020,3,56.6,0%,12:32,0,no grackles
239,125,AZ,0,33.4129,-111.9319,SLB,27-Feb-2020,2,43.9,10%,14:00,12-30,
238,126,AZ,0,33.413,-111.9265,SLB,27-Feb-2020,2,67.6,10%,13:39,6-10,
237,127,AZ,0,33.413,-111.9211,SLB,27-Feb-2020,2,53.3,10%,13:26,1-5,
235,129,AZ,0,33.4126,-111.9105,SLB,27-Feb-2020,2,67.1,10%,12:49,1-5,
234,130,AZ,0,33.4126,-111.9048,SLB,27-Feb-2020,2,45.8,10%,12:22,1-5,
233,131,AZ,0,33.413,-111.8992,SLB,27-Feb-2020,2,66.4,10%,12:05,-,no grackles
231,133,AZ,0,33.4134,-111.8888,SLB,27-Feb-2020,2,51.3,10%,11:34,1-5,no grackles
230,134,AZ,0,33.4125,-111.883,SLB,27-Feb-2020,2,52.8,10%,11:14,1-5,no grackles
229,135,AZ,0,33.4127,-111.8781,SLB,27-Feb-2020,2,46.2,10%,10:53,1-5,
115,136,AZ,0,33.40762,-111.95345,KMD,19-Feb-2020,3,64.9,65%,8:43,1-5,"singing, wind rounded up to nearest whole"
116,137,AZ,0,33.40766,-111.94807,KMD,19-Feb-2020,2,59.5,70%,9:03,1-5,hidden in the tree singing
120,141,AZ,0,33.40782,-111.92656,KMD,19-Feb-2020,3,63,40%,10:13,6-10,singing
121,142,AZ,0,33.40786,-111.92118,KMD,19-Feb-2020,4,56.5,35%,10:36,1-5,perched on umbrella
219,143,AZ,0,33.4076,-111.9163,SLB,20-Feb-2020,3,54.8,0%,10:53,1-5,
123,156,AZ,0,33.40331,-111.92651,KMD,19-Feb-2020,3,64.7,30%,11:20,1-5,
227,159,AZ,0,33.4039,-111.9105,SLB,20-Feb-2020,3,57.4,0%,13:39,0,
49,160,AZ,0,33.40347,-111.90501,MAF,20-Feb-2020,4,48.2,0%,11:18,0,
37,167,AZ,0,33.3986,-111.948,MAF,19-Feb-2020,3,58.5,80%,9:35,>20,
38,168,AZ,0,33.39868,-111.94259,MAF,19-Feb-2020,3,50.3,60%,9:55,0,
41,171,AZ,0,33.3988,-111.92646,MAF,19-Feb-2020,4,73.4,65%,10:53,>20,
221,173,AZ,0,33.3992,-111.9156,SLB,20-Feb-2020,3,57.7,0%,11:48,1-5,
55,176,AZ,0,33.399,-111.89958,MAF,20-Feb-2020,3,56.8,0%,12:59,1-5,no grackles
312,179,AZ,0,33.39893,-111.88437,MAF,5-Mar-2020,3,60.7,10%,14:06,>20,85m away across the canal.
36,182,AZ,0,33.3941,-111.9479,MAF,19-Feb-2020,1,58.8,80%,9:16,>20,busy road
222,188,AZ,0,33.3947,-111.9157,SLB,20-Feb-2020,3,54.3,0%,12:06,1-5,no grackles
54,191,AZ,0,33.39449,-111.89954,MAF,20-Feb-2020,3,52.8,0%,12:42,>20,
311,194,AZ,0,33.39461,-111.88391,MAF,5-Mar-2020,3,53.5,20%,13:49,1-5,
308,195,AZ,0,33.39465,-111.87804,MAF,5-Mar-2020,2,55.8,35%,12:55,11-20,no grackles
223,203,AZ,0,33.3899,-111.9156,SLB,20-Feb-2020,3,65.6,0%,12:29,0,no grackles
52,205,AZ,0,33.38996,-111.90481,MAF,20-Feb-2020,3,49.4,0%,12:07,1-5,no grackles
310,209,AZ,0,33.3901,-111.88336,MAF,5-Mar-2020,1,50.4,20%,13:33,6-10,no grackles
60,N100,AZ,0,33.42184,-111.90517,MAF,26-Feb-2020,3,65.1,0%,9:32,6-10,"no grackes, 36m from original point"
59,N101,AZ,0,33.42202,-111.8998,MAF,26-Feb-2020,4,72,0%,9:14,>20,"52m away from original point, at a construction site."
58,N102,AZ,0,33.4216,-111.89465,MAF,26-Feb-2020,3,58.3,0%,8:51,1-5,"19m away from original point, moved to get a better vantage point."
137,N104,AZ,0,33.42197,-111.88372,KMD,26-Feb-2020,4,62.9,0%,11:02,1-5,residential
30,N106,AZ,0,33.41665,-111.9537,MAF,13-Feb-2020,0,46,0%,13:10,>20,15m from 106
27,N107,AZ,0,33.41677,-111.94813,MAF,13-Feb-2020,3,59.5,0%,12:35,1-5,12m away from original point
107,N11,AZ,0,33.44853,-111.89639,KMD,5-Feb-2020,3,52,60%,12:01,0,no grackles; point is 154 meters from original location due to access
80,N116,AZ,0,33.41709,-111.89977,MAF,27-Feb-2020,1,42.3,5%,13:14,0,"no grackles, 5m from original point, in backyard"
79,N117,AZ,0,33.41711,-111.89447,MAF,27-Feb-2020,2,50.5,5%,13:00,1-5,
77,N118,AZ,0,33.41749,-111.88915,MAF,27-Feb-2020,3,46.7,5%,12:00,1-5,
76,N119,AZ,0,33.41756,-111.88364,MAF,27-Feb-2020,1,54.9,5%,11:48,1-5,
73,N120,AZ,0,33.41714,-111.87828,MAF,27-Feb-2020,3,60.9,0%,11:03,1-5,
29,N121,AZ,0,33.41219,-111.95348,MAF,13-Feb-2020,2,57.7,0%,12:54,11-20,11m from 121
28,N122,AZ,0,33.41213,-111.94814,MAF,13-Feb-2020,1,51.3,0%,12:42,6-10,5m from 122
214,N123,AZ,0,33.4134,-111.9424,SLB,13-Feb-2020,3,58.5,0%,12:57,6-10,N123 is 143m from 123. Original point is in someone's yard.
236,N128,AZ,0,33.4126,-111.9146,SLB,27-Feb-2020,2,65.8,10%,13:08,6-10,N128 is 120m from 128. Sidewalk closed for construction
232,N132,AZ,0,33.4141,-111.8948,SLB,27-Feb-2020,2,47.8,10%,11:53,0,"N132 is 177m from 132, private property trailer park"
117,N138,AZ,0,33.4075,-111.94267,KMD,19-Feb-2020,3,66.3,50%,9:23,1-5,singing
118,N139,AZ,0,33.40763,-111.93731,KMD,19-Feb-2020,1,50.8,50%,9:39,6-10,noisy
300,N14,AZ,0,33.44874,-111.8834,MAF,5-Mar-2020,4,59.4,20%,8:52,1-5,"group of 6 flew into view, not distiguishable from this distance"
119,N140,AZ,0,33.40765,-111.93199,KMD,19-Feb-2020,2,59.7,40%,9:56,0,wall in front of house behind (obstructed view)
228,N144,AZ,0,33.40786,-111.9097,SLB,20-Feb-2020,3,52.4,0%,13:52,1-5,Heard first then saw.
48,N145,AZ,0,33.4081,-111.90427,MAF,20-Feb-2020,4,53.5,0%,11:01,>20,Heard first then saw.
57,N146,AZ,0,33.408,-111.89956,MAF,20-Feb-2020,1,51.9,10%,13:35,>20,10m away from original point
88,N147,AZ,0,33.40806,-111.8943,MAF,4-Mar-2020,1,64.9,0%,10:26,1-5,
89,N148,AZ,0,33.40817,-111.88879,MAF,4-Mar-2020,3,57.7,0%,10:44,6-10,"16m away from original point, along canal"
304,N149,AZ,0,33.40768,-111.88351,MAF,5-Mar-2020,4,70.1,30%,11:18,>20,"no grackles, busy street"
301,N15,AZ,0,33.44889,-111.87805,MAF,5-Mar-2020,3,61.9,35%,9:20,11-20,
305,N150,AZ,0,33.40801,-111.87814,MAF,5-Mar-2020,4,58.1,35%,11:38,>20,22m away from original point
128,N151,AZ,0,33.40285,-111.95348,KMD,19-Feb-2020,4,55.9,5%,13:20,1-5,
127,N152,AZ,0,33.40311,-111.94799,KMD,19-Feb-2020,1,58.5,10%,12:59,1-5,
126,N153,AZ,0,33.40361,-111.93998,KMD,19-Feb-2020,2,60.7,10%,12:19,0,
125,N154,AZ,0,33.40273,-111.93724,KMD,19-Feb-2020,3,59.8,20%,11:58,>20,kids at recess
124,N155,AZ,0,33.40331,-111.93195,KMD,19-Feb-2020,3,47.3,25%,11:39,1-5,
122,N157,AZ,0,33.40322,-111.92106,KMD,19-Feb-2020,3,47.8,20%,11:01,0,
220,N158,AZ,0,33.4038,-111.9158,SLB,20-Feb-2020,3,48.6,0%,11:25,0,N158 is 48m from 158
56,N161,AZ,0,33.40369,-111.89963,MAF,20-Feb-2020,1,48.3,0%,13:17,>20,no grackles
87,N162,AZ,0,33.4038,-111.8942,MAF,4-Mar-2020,3,52.2,0%,10:04,1-5,"no grackles, 28m away from original point"
90,N163,AZ,0,33.40363,-111.8888,MAF,4-Mar-2020,2,53.5,0%,11:06,0,5m away from original point
313,N164,AZ,0,33.40362,-111.88423,MAF,5-Mar-2020,2,66.6,15%,14:22,1-5,69m away
306,N165,AZ,0,33.40368,-111.87801,MAF,5-Mar-2020,2,40.9,30%,12:06,1-5,
34,N166,AZ,0,33.3985,-111.953,MAF,19-Feb-2020,1,53.1,80%,8:48,11-20,N166 is 32m from 166
39,N169,AZ,0,33.39876,-111.9372,MAF,19-Feb-2020,3,45.7,50%,10:14,-,N169 is 5m from 169
16,N17,AZ,0,33.4438,-111.9478,MAF,12-Feb-2020,4,62.2,0%,9:39,11-20,
40,N170,AZ,0,33.39878,-111.93182,MAF,19-Feb-2020,1,51,50%,10:35,1-5,5m from 170
42,N172,AZ,0,33.39897,-111.92107,MAF,19-Feb-2020,1,50.9,40%,11:14,1-5,14m from 172
226,N174,AZ,0,33.3996,-111.9097,SLB,20-Feb-2020,3,51.3,0%,13:20,0,N174 is 96m from 174
50,N175,AZ,0,33.39902,-111.90422,MAF,20-Feb-2020,3,70.2,0%,11:33,1-5,
86,N177,AZ,0,33.39908,-111.89429,MAF,4-Mar-2020,2,46.8,0%,9:41,1-5,"no grackles, 10m away from original point"
91,N178,AZ,0,33.39909,-111.8889,MAF,4-Mar-2020,3,50.5,0%,11:27,6-10,"no grackles, 8m away from original point because it was in the middle of the road."
21,N18,AZ,0,33.44261,-111.94163,MAF,12-Feb-2020,1,54.5,30%,13:10,>20,"no grackles, outside of gated parking lot of SRP and outside of Golf Course. N18 is 188m away from 18."
307,N180,AZ,0,33.39952,-111.87799,MAF,5-Mar-2020,1,44.9,45%,12:27,1-5,44m away from original point
35,N181,AZ,0,33.39396,-111.9537,MAF,19-Feb-2020,1,58.7,85%,9:04,1-5,"N181 is 35m away from original point. No grackles, industrial area"
47,N183,AZ,0,33.39448,-111.94253,MAF,19-Feb-2020,2,60.5,0%,12:50,0,
46,N184,AZ,0,33.39428,-111.93717,MAF,19-Feb-2020,3,47.7,5%,12:32,1-5,5m away
45,N185,AZ,0,33.3943,-111.93186,MAF,19-Feb-2020,1,60.8,5%,12:14,1-5,
44,N186,AZ,0,33.3943,-111.92649,MAF,19-Feb-2020,3,92.1,35%,11:54,>20,7m away
43,N187,AZ,0,33.39417,-111.92102,MAF,19-Feb-2020,1,42.6,30%,11:32,>20,26m away
225,N189,AZ,0,33.3946,-111.9098,SLB,20-Feb-2020,3,55,0%,13:01,>20,"N189 is 45m from 189, this point is near a McDonalds"
51,N190,AZ,0,33.39458,-111.9049,MAF,20-Feb-2020,4,52.5,0%,11:49,6-10,13m away from original point
85,N192,AZ,0,33.39431,-111.89408,MAF,4-Mar-2020,2,51.4,0%,9:10,1-5,sun in eyes
92,N193,AZ,0,33.39462,-111.88878,MAF,4-Mar-2020,2,54,0%,11:42,0,5m away from original point.
22,N2,AZ,0,33.44649,-111.94921,MAF,12-Feb-2020,3,52.4,30%,13:26,>20,calling
12,N20,AZ,0,33.44389,-111.93232,MAF,6-Feb-2020,1,49.6,5%,13:36,1-5,"no grackles, N20 is 13m from 20."
224,N204,AZ,0,33.3903,-111.9098,SLB,20-Feb-2020,3,53.3,0%,12:47,1-5,"N204 is 70m from 204, no grackles"
53,N206,AZ,0,33.39017,-111.89948,MAF,20-Feb-2020,1,46.2,0%,12:23,1-5,no grackles
84,N207,AZ,0,33.38999,-111.89371,MAF,4-Mar-2020,2,53.7,0%,8:44,0,
13,N21,AZ,0,33.44386,-111.92676,MAF,6-Feb-2020,3,69.8,45%,14:06,>20,
309,N210,AZ,0,33.39043,-111.87881,MAF,5-Mar-2020,3,50.1,40%,13:11,>20,no grackles
140,N211,AZ,0,33.38504,-111.95248,KMD,4-Mar-2020,3,60.3,0%,8:31,1-5,calling and some singing
141,N212,AZ,0,33.38236,-111.94928,KMD,4-Mar-2020,3,49.5,0%,8:52,1-5,singing
142,N213,AZ,0,33.38512,-111.94353,KMD,4-Mar-2020,1,70.9,0%,9:22,1-5,no grackles
143,N214,AZ,0,33.38517,-111.93703,KMD,4-Mar-2020,2,60.8,0%,10:07,0,no grackles
144,N215,AZ,0,33.38517,-111.93169,KMD,4-Mar-2020,2,60.2,0%,10:35,0,no grackles
145,N216,AZ,0,33.38514,-111.92626,KMD,4-Mar-2020,2,71.3,0%,11:12,MISSING,singing
146,N217,AZ,0,33.38527,-111.92095,KMD,4-Mar-2020,2,57.6,0%,11:41,0,no grackles
93,N219,AZ,0,33.38476,-111.9104,MAF,5-Mar-2020,2,56.4,45%,6:48,1-5,no grackles
203,N22,AZ,0,33.4441,-111.9215,SLB,6-Feb-2020,2,62.1,15%,12:17,1-5,N22 is 22m from 22
94,N220,AZ,0,33.38531,-111.90481,MAF,5-Mar-2020,1,63.8,40%,7:05,1-5,singing
95,N221,AZ,0,33.38446,-111.89938,MAF,5-Mar-2020,2,66.2,15%,7:25,1-5,"no grackles, raven building nest in tree at the park."
96,N222,AZ,0,33.38479,-111.89445,MAF,5-Mar-2020,2,59.2,10%,7:43,0,87m away from original point
97,N223,AZ,0,33.38679,-111.88824,MAF,5-Mar-2020,3,57.5,20%,8:01,0,"no grackles, 146m away from original point, point on freeway"
98,N224,AZ,0,33.3867,-111.88332,MAF,5-Mar-2020,3,60.5,35%,8:12,1-5,"no grackles, 122m away from original point, point on freeway"
99,N225,AZ,0,33.38678,-111.87782,MAF,5-Mar-2020,4,61,20%,8:27,6-10,"no grackles, 127m away from original point, wind rounded up to nearest whole"
204,N23,AZ,0,33.444,-111.9163,SLB,6-Feb-2020,2,59,15%,12:30,1-5,"N023 is 18m from 23, long originally 33.4940, adjusted to 33.4440"
205,N24,AZ,0,33.44348,-111.9107,SLB,6-Feb-2020,2,57.3,15%,13:00,MISSING,N024 is 15m from 24
101,N25,AZ,0,33.44409,-111.90524,KMD,5-Feb-2020,2,52.3,70%,9:19,0,no grackles
105,N27,AZ,0,33.44420,-111.89612,KMD,5-Feb-2020,2,45.9,70%,11:24,0,no grackles
20,N3,AZ,0,33.4474,-111.9431,MAF,12-Feb-2020,2,54.1,10%,12:51,>20,"heard aurally first, then confirmed visually afterwards"
302,N30,AZ,0,33.44392,-111.87886,MAF,5-Mar-2020,3,53.4,40%,9:37,6-10,no grackles
208,N37,AZ,0,33.4402,-111.9219,SLB,6-Feb-2020,2,67.6,15%,14:13,1-5,
206,N39,AZ,0,33.4406,-111.91,SLB,6-Feb-2020,2,74.6,15%,13:48,11-20,N039 is 73m from 39
3,N43,AZ,0,33.44241,-111.88527,MAF,5-Feb-2020,0,56.7,100%,9:43,0,"no grackles, point is 158m from 43 because of ""no tresspassing"" sign."
303,N45,AZ,0,33.44209,-111.87801,MAF,5-Mar-2020,2,51,25%,9:49,1-5,no grackles
114,N46,AZ,0,33.43571,-111.95363,KMD,12-Feb-2020,2,66.5,0%,11:42,0,no grackles
113,N47,AZ,0,33.43475,-111.94846,KMD,12-Feb-2020,4,60.7,0%,11:14,1-5,no grackles
109,N51,AZ,0,33.43505,-111.9268,KMD,12-Feb-2020,3,63.8,0%,8:58,1-5,perched on a lamp post
322,N53,AZ,0,33.43236,-111.91545,MAF,8-Mar-2020,4,57.2,80%,11:03,0,point is across the lake; N153 is 273 meters from original location due to access
72,N54,AZ,0,33.43301,-111.91052,MAF,27-Feb-2020,1,62.7,0%,9:39,11-20,no grackles
67,N55,AZ,0,33.43451,-111.90533,MAF,27-Feb-2020,1,68.4,0%,7:26,1-5,
70,N58,AZ,0,33.43611,-111.88934,MAF,27-Feb-2020,1,60.8,0%,8:22,>20,no grackles
71,N59,AZ,0,33.43637,-111.88383,MAF,27-Feb-2020,2,65,0%,8:36,1-5,no grackles
23,N6,AZ,0,33.4484,-111.92673,MAF,12-Feb-2020,1,57,10%,13:48,>20,26m from original point
129,N60,AZ,0,33.43482,-111.87818,KMD,26-Feb-2020,2,63,0%,8:30,0,eating on lightpole
33,N61,AZ,0,33.43031,-111.9537,MAF,13-Feb-2020,3,57.2,0%,13:59,>20,16m from 61
24,N62,AZ,0,33.4305,-111.94822,MAF,13-Feb-2020,3,56.5,0%,11:24,>20,32m from original point
218,N63,AZ,0,33.4304,-111.9422,SLB,13-Feb-2020,3,56.7,0%,13:56,6-10,N063 is 58m from 63. Original point is construction on road.
314,N65,AZ,0,33.43016,-111.93226,MAF,8-Mar-2020,3,54,85%,7:25,11-20,
315,N66,AZ,0,33.43017,-111.92683,MAF,8-Mar-2020,2,55.6,85%,7:43,11-20,
316,N67,AZ,0,33.42947,-111.92117,MAF,8-Mar-2020,2,62.1,85%,8:08,0,"42 grackles seen total at point, 104m south of original point because it's gated off and not accessible."
319,N69,AZ,0,33.4306,-111.91019,MAF,8-Mar-2020,4,52.5,75%,9:45,1-5,no grackles
202,N7,AZ,0,33.4479,-111.9216,SLB,6-Feb-2020,2,45.5,15%,12:00,0,N07 is 54m from 7
63,N71,AZ,0,33.43063,-111.90041,MAF,26-Feb-2020,3,56.8,0%,10:32,>20,"10 grackles, mixed group at least 4 females"
64,N72,AZ,0,33.42991,-111.89448,MAF,26-Feb-2020,3,61.3,0%,10:55,11-20,"no grackles, 74m from original point"
32,N76,AZ,0,33.42557,-111.95365,MAF,13-Feb-2020,1,54.8,0%,13:45,>20,
25,N77,AZ,0,33.42566,-111.94836,MAF,13-Feb-2020,3,61.3,0%,11:46,>20,19m from original point
210,N79,AZ,0,33.4265,-111.9373,SLB,13-Feb-2020,3,63.4,0%,11:39,0,N079 is 83m from 79. The orginal point was in a parking garage.
201,N8,AZ,0,33.4484,-111.91528,SLB,6-Feb-2020,1,44,15%,11:40,1-5,N08 is 90m from 8
318,N82,AZ,0,33.42532,-111.92148,MAF,8-Mar-2020,2,55.3,85%,9:09,>20,red-tailed hawk flew in and gackles flew away. 69m away from original point
321,N83,AZ,0,33.42728,-111.91595,MAF,8-Mar-2020,2,46.3,35%,10:21,0,no grackles
317,N84,AZ,0,33.42588,-111.90929,MAF,8-Mar-2020,2,53.1,85%,8:27,0,127m away from original point
61,N85,AZ,0,33.42602,-111.90524,MAF,26-Feb-2020,3,48.2,0%,9:49,11-20,no grackles
65,N87,AZ,0,33.42622,-111.89446,MAF,26-Feb-2020,3,60.4,0%,11:14,6-10,"no grackles, 24m from original point"
133,N88,AZ,0,33.42581,-111.88911,KMD,26-Feb-2020,3,49.7,0%,9:50,0,residential to one side of me and industrial on the other side.
134,N89,AZ,0,33.42587,-111.88363,KMD,26-Feb-2020,2,42.6,0%,10:09,1-5,singing
200,N9,AZ,0,33.4487,-111.9099,SLB,6-Feb-2020,2,61.5,15%,11:09,1-5,N09 is 91m from 9
216,N93,AZ,0,33.4217,-111.9425,SLB,13-Feb-2020,3,73.3,0%,13:23,11-20,N093 is 54m from 93.
211,N94,AZ,0,33.422,-111.9372,SLB,13-Feb-2020,3,70.5,0%,11:57,>20,
