Name,BirdID,Letter,Bird #,L-leg,R-leg,L-#,R-#,Location,Coordinates,Blood,Feathers,Age,Sex,Photo,WeightBird+bag,WeightBag,BirdWeight,LeftWing,RightWing,LcentralRetrix,RcentralRetrix,LeftTarsus,RightTarsus,BillLength,BillWidth,BillDepth,SkullLength,HCT1,HCT2,HCT3,Fat,SMI,Date,Time,Trapping method,Handler,Biometrics/blood,BloodProcessing,Other people present,Notes,AviaryEntryDate,AviaryReleaseDate,RadioFrequency,Tag death date
Memela,A043KR,A,043,K,R,CL08,CL16,Lot 27,"33.418048, -111.931288",yes,yes,A,F,yes,172,75,97,148mm,144mm,133mm,131mm,38.5mm,37.1mm,30.1mm,NA,NA,34.1mm,-,-,-,1,,30-Nov-2018,11:00a,bownet,Kelsey,Kelsey,Luisa,,"keel prominent, chill",30 Nov 18,29 May 19,,
Memela,A043KR,A,043,K,R,CL08,CL16,Aviary,,yes,yes,A,F,yes,-,-,-,137mm,138mm,134mm,128mm,37.9mm,38.0mm,33.3mm,NA,NA,31.9mm,43%,43%,43%,3,,29-May-2019,9:27a,-,Kelsey,Gus,Luisa,-,,30 Nov 18,29-May-19,149.87,1-Aug-19
Migas,A074AL,A,074,A,L,CL22,CL10,RBHL,,yes,yes,A,F,yes,164,78,86,134mm,135mm,97mm,96mm,40.8mm,41.5mm,28.1mm,8.1mm,9.5mm,31.8mm,45%,44%,44%,0,,8-Oct-2019,8:17- 9:21,mist net,Melissa,Melissa,Kelsey,-,pokey keel,,,,
Mixiote,A040B-,A,040,B,-,CL25,-,Noble,"33.419702, -111.930282",yes,yes,A,M,yes,260,102,158,168mm,166mm,67mm,52mm,44.8mm,45.1mm,33.0mm,NA,NA,37.1mm,38%,38%,38%,1,,31-Oct-2018,7:40a,bownet,TJ/Dieter,Dieter/Luisa,Luisa,,,,,,
Mofongo,A090SB,A,090,S,B,CL18,CL23,Light Rail,,yes,yes,A,M,yes,250,76,174,176mm,174mm,17.1mm,16.8mm,49.8mm,49.8mm,36.2mm,10.4mm,12.2mm,35.4mm,41%,41%,40%,0,,18-Dec-2019,12:47-1:37,mist net,Melissa,Melissa,Kelsey,,,18-Dec-2019,,,
Mofongo,A090SB,A,090,S,B,CL18,CL23,Aviary,,yes,yes,A,M,yes,-,-,-,160mm,164mm,17.0mm,16.8mm,49.0mm,48.7mm,42.5mm,9.5mm,11.4mm,36.1mm,55%,55%,55%,1,,14-May-2020,9:28- N/R,aviary,Kelsey/ Maggie,Kelsey,Maggie,-,cloaca protrudence,,14-May-20,148.137,Still on 22 June
Mole,A035P-,A,035,P,-,CL25,-,Aviary,,yes,no,A,M,yes,-,-,-,176mm,177mm,168mm,164mm,44.9mm,43.6mm,38.6mm,NA,NA,36.9mm,51%,51%,51%,1,,24-Apr-2019,10:52a,-,Gus,Kelsey,Luisa,,Used Holohil tags with embedded tubes and shorter battery life; Forgot to pull feathers!,24 Oct 18,24-Apr-19,149.53,29-April-19
Molé,A035P-,A,035,P,-,CL25,-,Daley Park,"33.409864, -111.934386",Yes,Yes,A,M,Yes,236,75,161,163mm,168mm,138mm,140mm,40.4mm,39.1mm,37.1mm,NA,NA,39.6mm,-,-,-,1,,24-Oct-2018,11:11a,Mist net,"Kelsey, Luisa",Kelsey,Luisa,Corina,Keel prominent; very fiesty!,24 Oct 18,24 Apr 19,,
Morada,A034PO,A,034,P,O,CL10,CL09,Wilson,"33.418529, -111.937009",Yes,Yes,J,F,Yes,168,75,93,131mm,130mm,97mm,107mm,30.0mm,31.4mm,28.2mm,NA,NA,30.9mm,39%,39%,40%,2,,17-Oct-2018,11:14a,Mist net,"Kelsey, Luisa",Kelsey,Luisa,,,,,,
Nacho,A006-V,A,006,-,V,,CL26,Psychology North,,yes,yes,A,M,yes,242,66,176,178mm,183mm,184mm,189mm,40.7mm,40.9mm,44.3mm,NA,NA,29.7mm,49%,49%,49%,,,18-Apr-2018,2:30p,Bownet,Zoe,Luisa,Carol,"Sofija, Brianna",,,,,
Naranja,A015OO,A,015,O,O,CL06,CL07,Old Main,,yes,yes,A,F,yes,174,74,100,142mm,146mm,134mm,133mm,38.9mm,37.9mm,32.9mm,NA,NA,30.2mm,47%,47%,47%,,,29-May-2018,10:28a,Bownet,Zoe,Luisa,Carol,,"very vocal, lots of mites crawling on handler's gloves",,,,
Nopal,A033GG,A,033,G,G,CL07,CL08,Lot 27,"33.418048, -111.931288",Yes,Yes,A,F,Yes,178,57,121,145mm,141mm,96mm,89mm,38.8mm,39.0mm,28.2mm,NA,NA,34.2mm,36%,36%,37%,1,,10-Oct-2018,10:00a,Bownet,Kelsey/Dieter,Luisa/Dieter,Luisa,,"White feathers around eyes, keel a little prominent. Bownet has delayed deployment and may have struck her legs but they look and feel healthy.",10 Oct 18,05 Nov 18,,
Nopal,A033GG,A,033,G,G,CL07,CL08,Aviary,,yes,no,A,F,yes,171,72,99,141mm,143mm,125mm,130mm,38.6mm,40.2mm,28.5mm,NA,NA,35.1mm,43%,43%,43%,1,,5-Nov-2018,12:30p,-,Aldora/Dieter,Dieter/Luisa,Luisa,Corina,some muscle on keel,10 Oct 18,05 Nov 18,,
Paella,A092SN,A,092,S,N,CL11,CL23,Light Rail,,yes,yes,A,F,yes,177,74,103,140mm,140mm,11.9mm,12.0mm,39.5mm,39.9mm,30.4mm,6.2mm,9.7mm,32.1mm,41%,41%,40%,0,,6-Jan-2020,11:44 - 12:58,mist net,Melissa,Melissa,Kelsey,-,yellow iris with some brown around pupil,06-Jan-2020,,,
Paella,A092SN,A,092,S,N,CL11,CL23,Aviary,,yes,yes,A,F,yes,168,73,95,140mm,141mm,11.6mm,11.8mm,40.7mm,40.1mm,31.6mm,6.9mm,10.1mm,33.0mm,56%,56%,56%,2.5,,10-Feb-2020,09:24 - 07:57,aviary,Melissa,Melissa,Kelsey,,1 toenail missing,6 Jan 2020,10 Feb 2020,-,
Palomita,A010BR,A,010,B,R,CL03,CL04,Psychology North,,yes,yes,A,F,yes,162,72,90,142mm,142mm,130mm,128mm,36.0mm,36.0mm,34.7mm,NA,NA,27.5mm,37%,37%,37%,,,25-Apr-2018,11:50a,Bownet,Zoe,Luisa,Carol,,"very quiet and calm, top bill slightly overgrown on L side, see pic",,,,
Pan Dulce,A071OK,A,071,O,K,CL13,CL03,Skyspace,,yes,yes,J,F,yes,165,65,100,141mm,140mm,71mm,72mm,39.8mm,40.5mm,32.3mm,9.2mm,10.9mm,32.9mm,41%,41%,41%,0,,2-Oct-2019,11:22 - 12:15,mist net,Melissa,Melissa,Kelsey,-,"light brown eyes, molting tail feathers",,,,
Papa,A008PY,A,008,P,Y,CL03,CL02,Chompies,,yes,yes,A,F,yes,168,66,102,134mm,132mm,110mm,110mm,35.5mm,34.5mm,33.9mm,NA,NA,28.8mm,43%,43%,43%,,,24-Apr-2018,11:11 AM,Bownet,Zoe,Luisa,Carol,,,,,,
Pavo,A082OY,A,082,O,Y,CL05,CL04,Light Rail,,yes,yes,A,M,yes,243,75,168,181mm,181mm,18.8mm,18.7mm,47.8mm,46.6mm,38.1mm,8.4mm,12.4mm,38.1mm,43%,43%,43%,1,,4-Nov-2019,7:00-8:05,bownet,Melissa,Melissa,Kelsey,-,brown around iris,4-Nov-2019,12-Dec-2019,,
Pavo,A082OY,A,082,O,Y,CL5,CL4,Aviary,,yes,yes,A,M,yes,268,103,165,181mm,178mm,18.8mm,18.8mm,46.7mm,46.4mm,37.7mm,9.3mm,11.9mm,38.1mm,52%,52%,53%,0.5,,12-Dec-2019,10:04-10:45,aviary,Kelsey,Kelsey/Maggie,Maggie,-,,4-Nov-2019,12-Dec-2019,,
Peggy,A024-O,A,024,-,O,-,CL26,Matthews,"33.419998,  -111.935177",yes,yes,A,F,yes,143,65,78,137mm,132mm,missing (see note),missing (see note),28.8mm,31.2mm,32.6mm,NA,NA,33.4mm,-,-,-,2,,18 Sept 18,9:30a,Mist net,Elysia,Kelsey,Luisa,Corina,growing new tail.  missing L foot. did not get enough blood to run hematocrit.,,,,
Pepino,A062AP,A,062,A,P,CL11,CL18,Psychology North,"33.419703, -111.929471",yes (red tube only),yes,J,M,yes,195,75,120,142mm,142mm,124mm,123mm,48.0mm,47.7mm,34.5mm,NA,NA,32.6mm,28%,29%,29%,0,,17-Jun-2019,7:30a,mist net,Melissa,Melissa,Kelsey,-,Male fledgling that Chile feeds; Did not get enough blood for green tube.,,,,
Pernil,A094OP,A,094,O,P,CL03,CL04,Skyspace,,yes,yes,A,M,yes,240,67,173,183mm,183mm,18.5mm,19.5mm,45.8mm,45.7mm,36.5mm,9.2mm,11.7mm,36.4mm,43%,43%,43%,0,,23-Jan-2020,9:25 - 10:36,mist net,Melissa,Melissa,Kelsey,,lost most of tail feathers during transport in the bag before processing,23-Jan-2020,,148.317,8-Apr-2020 saw Pernil without tag
Pernil,A094OP,A,094,O,P,CL03,CL04,Aviary,,yes,yes,A,M,yes,235,70,165,181mm,176mm,17.1mm,18.3mm,46.7mm,46.4mm,38.1mm,8.7mm,11.7mm,36.5mm,55%,55%,55%,0,,19-Feb-2020,07:03- 07:34,aviary,Melissa/Kelsey,Melissa,Kelsey,Samuel released,missing right half of retricies,23-Jan-2020,19-Feb-2020,148.317,8-Apr-2020 saw Pernil without tag
Picante,A056G-,A,056,G,-,CL25,-,Armstrong,"33.418222, -111.929351",yes,yes,A,M,yes,220,65,155,188mm,188mm,183mm,189mm,44.5mm,45.2mm,40.9mm,NA,NA,30.4mm,47%,46%,46%,0,,9-Apr-2019,10:10a,mist net,Kelsey,Melissa,Luisa,,,,,,
Pico,A021-K,A,021,-,K,-,CL26,Wilson Hall,"33° 25' 6.66"", 111° 56' 11.54""",yes,yes,A,M,no,130,57.5,72.5,185mm,182mm,190mm,185mm,49.8mm,47.6mm,38.5mm,NA,NA,36.5mm,33%,33%,34%,0 (see notes),,12 Sept 18,10:00a,Bownet,Rita,"Kelsey, Luisa",Luisa,,lots of dandruff so hard to see fat. Keel prominent. ,,,,
Pinto beans,A065PB,A,065,P,B,CL14,CL05,Wells Fargo Arena,"33.424108, -111.930218",yes,yes,A?,F,yes,155,73,82,135mm,137mm,50mm,60mm,37.4mm,40.1mm,30.9mm,8.2mm,9.9mm,31.4mm,40%,40%,39%,0,,19-Sept-2019,6:18 - 7:13,mist net,Melissa,Melissa,Kelsey,Maggie,"yellow eyes for the most part, with a little brown below the iris, really small, possibly young adult",,,,
Pizza,A088YR,A,088,Y,R,CL11,CL10,Light Rail,,yes,yes,A,M,yes,222,65,157,168mm,168mm,16.3mm,16.2mm,43.5mm,45.9mm,35.7mm,9.5mm,11.5mm,36.5mm,46%,46%,46%,0,,21-Nov-2019,12:05-2:00,bownet,Melissa,Melissa,Kelsey,-,,21-Nov-2019,,,
Pizza,A088YR,A,088,Y,R,CL11,CL10,Aviary,,yes,yes,A,M,yes,-,-,-,164mm,165mm,16.3mm,15.8mm,44.8mm,45.5mm,40.2mm,9.5mm,11.8mm,36.4mm,44%,44%,44%,3,,29-Apr-2020,7:17-7:54,aviary,Kelsey/ Maggie,Kelsey,Maggie,-,,-,29-Apr-2020,148.263,Still on 22 June
Platana,A045YY,A,045,Y,Y,CL06,CL08,Chompies,"33.422200, -111.919458",yes,yes,A,F,yes,164,75,89,139mm,141mm,125mm,125mm,35.3mm,33.9mm,34.1mm,NA,NA,33.7mm,39%,39%,40%,0,,28-Jan-2019,9:00a,mist net,Kelsey,Rita/Kelsey,Luisa,,keel pokey,28 Jan 19,7 March 19,,
Platana,A045YY,A,045,Y,Y,CL06,CL08,Aviary,,yes,yes,A,F,yes,168,72,96,134mm,140mm,124mm,126mm,37.2mm,39.5mm,36.1mm,NA,NA,32.1mm,-,-,-,0,,7-Mar-2019,11:30a,-,Melissa,Melissa/Kelsey,Luisa,Kelsey,,,07 March,,
Pollito,A096NS,A,096,N,S,CL20,CL02,Skyspace,,yes,yes,A,M,yes,237,65,172,176mm,176mm,16.5mm,16.3mm,46.2mm,46.3mm,38.2mm,9.0mm,11.3mm,37.7mm,41%,42%,41%,0.5,,16-Feb-2020,12:17 - 13:21,mist net,Melissa/Kelsey,Melissa,Kelsey,,-,16 Feb 2020,,148.207,11-June-20 last seen
Pollito,A096NS,A,096,N,S,CL20,CL02,Aviary,,yes,yes,A,M,yes,-,-,-,170mm,165mm,15.9mm,15.8mm,46.6mm,48.9mm,41.8mm,9.5mm,10.7mm,38.1mm,48%,48%,48%,0,,13-May-2020,9:28-10:00,aviary,Kelsey/ Maggie,Kelsey,Maggie,-,,-,13-May-20,148.207,11-June-20 last seen
Pozole,A053PS,A,053,P,S,CL20,CL05,Health Services,"33.4217249, -111.9329267",yes,yes,A,F,yes,172,73,99,135mm,136mm,118mm,116mm,37.0mm,37.5mm,33.0mm,NA,NA,31.0mm,45%,45%,46%,0,,1-Apr-2019,11:30a,Mist net,Kelsey,Kelsey,Luisa,,,,,,
Pupusa,A097SO,A,097,S,O,CL16,CL23,Skyspace,,yes,yes,A,F,yes,192,102,90,135mm,134mm,12.0mm,12.1mm,40.1mm,39.6mm,30.5mm,7.7mm,8.6mm,32.4mm,54%,52%,54%,0.5,,19-Feb-2020,15:30 - 16:33,mist net,Kelsey/Maggie,Kelsey,Maggie,,well muscled,19-Feb-2020,,149.502,12-Apr-2020 noticed she pulled off antenna. Signal still detectable when close
Pupusa,A097SO,A,097,S,O,CL16,CL23,Aviary,,yes,yes,A,F,no,-,-,-,136mm,135mm,12.3mm,12.4mm,38.3mm,38.6mm,32.7mm,8.7mm,11.7mm,32.5mm,50%,50%,51%,0.5,,6-Apr-2020,07:01-07:31,aviary,Melissa/ Kelsey,Melissa,Kelsey,-,cloaca protrudence,19-Feb-20,06-Apr-20,149.502,12-Apr-2020 noticed she pulled off antenna. Signal still detectable when close
Quesadilla,A004OR,A,004,O,R,CL02,CL01,East Athletic Field,,Yes,Yes,A,F,yes,156,66,90,133mm,134mm,117mm,122mm,33.1mm,34.0mm,35.5mm,NA,NA,29.8mm,40%,40%,40%,,,17-Apr-2018,11:15 AM,Bownet,Zoe,Luisa,Carol,,,,,,
Queso,A031-Y,A,031,-,Y,-,CL26,Packard,"33° 25' 30.54"", 111° 55' 40.25""",yes,yes,A,M,yes,230,75,155,168mm,170mm,50mm,65mm,39.9mm,42.1mm,41.1mm,NA,NA,42.8mm,33%,34%,33%,1,,5-Oct-2018,11:30a,bownet,Kelsey/Dieter,Kelsey,Luisa,,"keel prominent but some muscle. Bump over L eye, cheek swollen below L eye. Tail feathers growing in, very short. ",05 Oct 18,5 Apr 19,,
Queso,A031-Y,A,031,-,Y,-,CL26,Aviary,,yes,yes,A,M,yes,-,-,-,168mm,167mm,189mm,189mm,44.6mm,42.5mm,42.6mm,NA,NA,29.4mm,50%,49%,50%,0,,4-Apr-2019,11:05a,-,Melissa/Kelsey,Melissa/Kelsey,Luisa,Gus observed,Trimmed tag antenna to ~2in long,5-Oct-19,4-Apr-19,149.851,
Ranchera,A060SB,A,060,S,B,CL18,CL23,Wilson,"33.418170, -111.936097",yes,yes,A,F,yes,157,74,83,146mm,142mm,136mm,134mm,37.5mm,38.5mm,33.5mm,NA,NA,27.5mm,46%,46%,46%,0,,9-May-2019,1:20p,mist net,TJ/Kelsey,TJ/Kelsey,Luisa,-,"Dry skin, brood patch, maybe an egg in stomach",,,,
Roja,A032RR,A,032,R,R,CL08,CL09,Noble,"33.420061, -111.930255",yes,yes,J,F,yes,162,64,98,133mm,131mm,105mm,109mm,35.9mm,34.9mm,31.25mm,NA,NA,32.3mm,38%,38%,38%,2,,9-Oct-2018,8:30a,Mist net,Kelsey/Gus,Kelsey,Luisa,Dieter,"Tail growing in, keel well muscled.",,,,
Salsa,A013GP,A,013,G,P,CL03,CL05,Chompies,,red only,yes,A,F,yes,172,70,102,140mm,140mm,119mm,121mm,35.0mm,35.8mm,31.6mm,NA,NA,25.7mm,-,-,-,,,,1:35p,Bownet,Zoe,Luisa,Carol,,"extremely fidgety and bitey, only able to get enough blood for red microtainer, drew from both wings, leg veins too small to puncture.",,,,
SALVAGED DEAD BIRD,A28,A,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALVAGED DEAD BIRD,A29,A,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALVAGED DEAD BIRD,A30,A,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakira,A054BN,A,054,B,N,CL14,CL01,Armstrong,"33.418222, -111.929351",yes,yes,A,F,yes,156,74,82,135mm,139mm,135mm,134mm,36.7mm,38.5mm,33.5mm,NA,NA,31.2mm,46%,46%,46%,0,,2-Apr-2019,11:55a,Mist net,Melissa,Melissa/Luisa did blood,Luisa,,,,,,
Sincronizada,A016RY,A,016,R,Y,CL07,CL07,Old Main,,yes,yes,A,F,yes,210,106,104,132mm,139mm,109mm,111mm,35.0mm,34.5mm,35.0mm,NA,NA,29.1mm,39%,39%,38%,,,30-May-2018,11:18a,Bownet,Zoe,Luisa,Carol,,,,,,
Sofrita,A076NP,A,076,N,P,CL11,CL17,USE,,yes,yes,J,F,yes,163,65,98,136mm,136mm,10.8mm,11.0mm,41.5mm,40.7mm,31.4mm,6.1mm,9.7mm,36.2mm,43%,43%,43%,0,,14-Oct-2019,8:58-9:58,mist net,Michael,Melissa,Kelsey,-,,,,,
Taco,A070KP,A,070,K,P,CL11,CL16,SHESC,,yes,yes,J,M,yes,204,65,139,158mm,158mm,59mm,57mm,41.1mm,41.2mm,34.7mm,9.1mm,10.7mm,35.0mm,41%,41%,42%,0.5,,1-Oct-2019,10:25a,mist net,Melissa,Melissa,Kelsey,-,molting tail feathers,01 Oct 19,21 Nov 2019,149.902,"chewed off radio tag, noticed on December 29, 2019"
Taco,A070KP,A,070,K,P,CL11,CL16,Aviary,,yes,yes,J,M,yes,-,-,,162mm,172mm,15.8mm,14.1mm,41.8mm,41.3mm,36.7mm,7.9mm,10.2mm,32.9mm,49%,48%,48%,2,,21-Nov-2019,12:51-13:40,aviary,Melissa,Melissa,Kelsey,Maggie released back to captured location,,01 Oct 19,21 Nov 2019,149.902,"chewed off radio tag, noticed on December 29, 2019"
Tajin,A077RS,A,077,R,S,CL20,CL08,USE,,yes,yes,J,F,yes,175,75,100,141mm,141mm,10.8mm,10.6mm,41.6mm,70.1mm,32.3mm,6.8mm,9.9mm,33.9mm,50%,50%,49%,0,,14-Oct-2019,9:05-10:34,mist net,Melissa,Melissa,Kelsey,-,,,,,
Tamale,A063OG,A,063,O,G,CL12,CL12,Wells Fargo Arena,"33.424108, -111.930218",yes,yes,A,F,yes,175,74,101,130mm,131mm,35mm,28mm,40.0mm,39.0mm,31.9mm,8.0mm,10.4mm,39.7mm,51%,50%,51%,0,,18-Sept-2019,6:07 - 7:32,mist net,Melissa,Melissa,Kelsey,Maggie,no tail feathers,,,,
Tapa,A042GY,A,042,G,Y,CL09,CL12,Lot 27,"33.418048, -111.931288",yes,yes,A,F,yes,161,71,90,140mm,146mm,124mm,132mm,36.3mm,36.3mm,28.5mm,NA,NA,33.0mm,39%,39%,39%,1,,5-Nov-2018,11:10a,bownet,Aldora/Dieter,Dieter/Luisa,Luisa,Corina,little bit of muscle on keel,05 Nov 18,5 May 19,,
Tapa,A042GY,A,042,G,Y,CL09,CL12,Aviary,,yes,yes,A,F,yes,-,-,-,140mm,141mm,137mm,135mm,37.1mm,38.3mm,33.4mm,NA,NA,30.1mm,48%,49%,49%,1,,2-May-2019,9:38a,-,Kelsey,Melissa,Luisa,-,Used Holohil tags with embedded tubes and shorter battery life,05 Nov 18,5 May 19,149.829,
Taquito,A007-S,A,007,-,S,,CL26,Psychology North,,yes,yes,A,M,yes,234,68,166,184mm,185mm,180mm,182mm,40.3mm,39.3mm,39.8mm,NA,NA,29.0mm,54%,54%,54%,,,18-Apr-2018,3:12p,Bownet,Zoe,Luisa,Carol,Brianna,,,,,
Taquito,A007-S,A,007,-,S,-,CL26,Skyspace,,yes,yes,A,M,yes,258,102,156,183mm,183mm,18.2mm,19.2mm,42.8mm,43.3mm,37.5mm,7.9mm,11.7mm,34.1mm,48%,49%,48%,0,,27-Feb-2020,13:00 - 15:55,mist net,Kelsey/Maggie,Kelsey,Maggie,,,27-Feb-2020,,148.782,"22-May-20 last seen 21 May, could not find him 23 May"
Taquito,A007-S,A,007,-,S,-,CL26,Aviary,,yes,yes,A,M,N/R,-,-,-,183mm,185mm,18.4mm,18.4mm,43.6mm,42.4mm,41.1mm,8.3mm,11.9mm,35.2mm,45%,46%,45%,0,,26-Apr-2020,6:30-7:08,aviary,Melissa/ Kelsey,Melissa,Kelsey,-,,27-Feb-20,26-Apr-20,148.782,"22-May-20 last seen 21 May, could not find him 23 May"
Tomatillo,A022-N,A,022,-,N,-,CL26,Aviary,,yes,yes,A,M,yes,-,-,-,156mm,162mm,148mm,142mm,39.2mm,38.6mm,40.1mm,NA,NA,34.6mm,49%,49%,49%,3,,17-Jan-2019,11:30a,-,Corina,Kelsey,Luisa,,"Keel pokey but muscular, finished collecting blood within 3 min of starting to try to catch",17 Sept 18,17 Jan 19,149.802,
Tomatillo,A022-N,A,022,-,N,-,CL26,Daley Park,"33° 24' 37.27"", 111° 56' 3.89""",yes,yes,A,M,yes,,75,117.5 OR 192.5 (see note),156mm,156mm,(see note),(see note),35.1mm,34.7mm,38.6mm,NA,NA,36.3mm,38%,38%,37%,1,,17 Sept 18,8:00a,Mist net,Corina,Kelsey ,Luisa,,"did not write down bird wt+bag, unsure if 192.5g is bird+bag or just bird. Tail feathers still growing, in sheath, unable to measure. ",17 Sept 18,17 Jan 19,,
Torta,A050OA,A,050,O,A,CL15,CL03,Light Rail,"33.420082, -111.926550",yes,yes,A,F,yes,154,64,90,141mm,144mm,132mm,132mm,34.5mm,36.0mm,28.6mm,NA,NA,30.8mm,45%,45%,45%,1,,11-Mar-2019,9:00a,Mist net,Melissa,Melissa,Luisa,Kelsey,"fiesty, keel pokey",,,,
Tortilla,A018BB,A,018,B,B,CL06,CL07,Old Main,,yes,yes,A,F,yes,164,66,98,150mm,150mm,134mm,141mm,38.0mm,36.8mm,33.5mm,NA,NA,30.7mm,42%,43%,43%,,,19-Jun-2018,11:50 AM,Bownet,Aldora,Luisa,Zoe,Carol,top bill longer than bottom,,,,
Tostada,A014BG,A,014,B,G,CL05,CL04,Old Main,,yes,yes,A,F,yes,168,68,100,142mm,141mm,132mm,133mm,35.7mm,37.0mm,32.9mm,NA,NA,29.9mm,41%,41%,41%,,,1-May-2018,10:50a,Bownet,Zoe,Luisa,Carol,,,,,,
Tripa,A057YA,A,057,Y,A,CL15,CL06,Armstrong,"33.418222, -111.929351",yes,yes,A,F,yes,184,74,110,136mm,136mm,129mm,127mm,37.4mm,37.7mm,30.9mm,NA,NA,30.3mm,40%,41%%,40%,2,,9-Apr-2019,10:10a,mist net,Kelsey/Melissa,Kelsey/Melissa,Luisa,,"Brood patch. Fat on lower belly, not upper",,,,
Uva,A084LP,A,084,L,P,CL14,CL22,Crepe Club,,yes,yes,J,F,yes,163,74,89,139mm,139mm,12.2mm,12.1mm,37.3mm,37.5mm,38.4mm,6.8mm,10.5mm,32.5mm,48%,48%,48%,1,,6-Nov-2019,7:02-8:06,mist net,Melissa,Melissa,Kelsey,-,,,,,
Yerba,A017GR,A,017,G,R,CL02,CL03,Old Main,,yes,yes,A,F,yes,170,64,106,146mm,146mm,134mm,135mm,38.0mm,35.9mm,37.8mm,NA,NA,29.6mm,45%,45%,45%,,,8-Jun-2018,11:30a,Bownet,Zoe,Luisa,Carol,,"some broken looking feathers on ventral coverlets, bottom bill longer than top (see pics)",,,,
Yuca,A087AG,A,087,A,G,CL10,CL18,Armstrong,,yes,yes,A,F,yes,168,74,94,142mm,142mm,12.1mm,12.2mm,38.5mm,39.5mm,21.9mm,7.2mm,9.9mm,33.1mm,41%,42%,42%,0,,18-Nov-2019,12:55 - ?,mist net,Maggie,Maggie,Kelsey,-,,18-Nov-2019,23-Jan-2020,148.123,"Lost harness, noticed 28 Feb 2020"
Yuca,A087AG,A,087,A,G,CL10,CL18,Aviary,,yes,yes,A,F,yes,-,-,-,142mm,144mm,14.5mm,14.1mm,40.1mm,39.7mm,30.5mm,7.9mm,9.5mm,31.6mm,54%,53%,54%,2,,23-Jan-2020,11:38 - 12:10,aviary,Melissa,Melissa,Kelsey,,,18-Nov-2019,23-Jan-2020,148.123,"Lost harness, noticed 28 Feb 2020"
,,,019,-,-,-,-,Wilson Hall,,no,yes,J,?,yes,42,10,32,85mm,85mm,17mm,17mm,30.4mm,30.6mm,20.9mm,NA,NA,17.9mm,-,-,-,,,5-Jul-2018,12:59 PM,-,Zoe,Luisa,-,,young nestling (est. 9-14 days old) found on ground. Had mild head tick.,,,,
